id,name,property,state,responses,rating,image,map
1,Harris Fox Ranch,Javier Run Creek,Maine,2,100,https://timcamp.s3-us-west-1.amazonaws.com/camp187.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d92691.04435888634!2d-70.55007934228574!3d43.44817099174576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cb2af789390c709%3A0xfaac2f30f3b90287!2sSwamp%20Grass%20Ln%2C%20Arundel%2C%20ME%2004046!5e0!3m2!1sen!2sus!4v1601597899941!5m2!1sen!2sus
2,Runolfsson Prairie Farm,Ebert Viaduct Forest,Florida,1567,93,https://timcamp.s3-us-west-1.amazonaws.com/camp192.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55094.86466806726!2d-83.32368242044049!3d30.338754311563658!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88eebfcd86d5598d%3A0x15778544bb77d6b3!2sHome%20Field%20Advantage%20Farmstead!5e0!3m2!1sen!2sus!4v1601597183825!5m2!1sen!2sus
3,Bruen Lake,Daphnee Prairie Resort,Texas,25,100,https://timcamp.s3-us-west-1.amazonaws.com/camp229.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
4,Schamberger Ramp Woods,Annabel Walks Sanctuary,Texas,861,96,https://timcamp.s3-us-west-1.amazonaws.com/camp146.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
5,Neil Lane Farm,Jacobson Summit Farm,Texas,38,100,https://timcamp.s3-us-west-1.amazonaws.com/camp177.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
6,Grady Burgs Camping Site,Laron Forest Forest,California,1465,95,https://timcamp.s3-us-west-1.amazonaws.com/camp219.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
7,Zieme Heights Lake,Kenna Knoll Ridge,Florida,1127,99,https://timcamp.s3-us-west-1.amazonaws.com/camp264.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55094.86466806726!2d-83.32368242044049!3d30.338754311563658!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88eebfcd86d5598d%3A0x15778544bb77d6b3!2sHome%20Field%20Advantage%20Farmstead!5e0!3m2!1sen!2sus!4v1601597183825!5m2!1sen!2sus
8,Raynor Prairie Getaway,Hazel Parkways Summit,California,35,100,https://timcamp.s3-us-west-1.amazonaws.com/camp220.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d26437.75777640662!2d-116.54228946132449!3d34.076698423888004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80db253a8e4edd49%3A0xaa1bb38ea32f703c!2sThe%20Desert%20Rose%20Collective!5e0!3m2!1sen!2sus!4v1601597006195!5m2!1sen!2sus
9,Yost Ranch,Libby Pines Farm,Washington,43,100,https://timcamp.s3-us-west-1.amazonaws.com/camp162.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d87136.04105639421!2d-123.01201287000266!3d46.961664804994264!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5491713b3b939523%3A0xfaeb325183951806!2sHealing%20Hearts%20Ranch!5e0!3m2!1sen!2sus!4v1601598088967!5m2!1sen!2sus
10,Kub Camping,Armstrong Drive Farm,Texas,50,98,https://timcamp.s3-us-west-1.amazonaws.com/camp21.jpg,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55316.95401155341!2d-97.42215203153161!3d29.94177138075298!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x864361d21567bf83%3A0x6f8fcfd7dd30d88e!2sArdor%20Wood%20Farm!5e0!3m2!1sen!2sus!4v1601511502193!5m2!1sen!2sus
